ngo_id,date_added,latin_name,arabic_name,country,address,governorate,phone,email,date_of_creation,type_of_organization,target_group,president,director,secretary_general,treasurer,missions_and_goals,impact_of_ong,activities,building_networks_and_alliances,other,publications,training_and_capacity_building,research_resources_and_production,exchange_of_information_know-how_and_experience,website
665,2014-11-07 02:04:27.444734,Association RAID,جمعية راغي,تونس,شارع قرطاج تونس,تونس,71 247 188,tunisie@attac.org,0000-00-00,tunisie@attac.org,سياسية حقوقية,فتحي الشامخي,,,جمعية التونسية التي تدافع عن وجه جديد للعولمة الليبرالية الجديدة. أنها تعزز الحقوق الاقتصادية والاجتماعية للغالبية من السكان. على الرغم من أنها رفعت قضيتها وفقا للقانون، لم يكن RAID بعد وضعها القانوني. في الواقع، عانت نشطاء RAID طوال هذه الفترة والمضايقة والاضطهاد. لهذا، فإننا ندعوكم لدعم لنا وللضغط على السلطات التونسية، من أجل أن يعطينا حقنا المشروع في مواصلة أنشطتنا في الأماكن العامة.,جهوي,,,,,,,,المجتمع,
666,2014-11-07 02:04:39.556394,Association Nakhwa pour les femmes et la famille,جمعية نخوة للمرأة و الأسرة بالمطوية,تونس,شارع الشهداء 15 مكرر المطوية 6010,المطوية,21321184,nazihadridi41@gmai.com,2013-03-19,association nekhwa,اجتماعية ذات صبغة عامة,نزيهة الدريدي,ناجية محمود,ام السعد شامخ,الأرتقاء بالمرأة,جهوي,مجتمع الصمار لحرفيات المطوية و ترشيد التصرف في النقابات المنزلية,تشجيع الحرفيات في الصناعات التقليدية و بعث فضاءات المرأة,,,,,الدعم المادي,المواطن,
668,2014-11-07 02:04:54.749034,Association Dialogue et Action (ADA),جمعية حوار و عمل,Algérie/الجزائر,شارع  حيجة محند وعمر أقبو 06200,بجاية,034 35 55 47 / 034 35 78 90,ada_akbou@live.fr,0000-00-00,,جمعية محلية,علولة مقران,,,توعية الشباب,جهوي,,حملات تحيسية و لقاءات شبابية,,,,,,الشباب,
669,2014-11-07 02:05:07.936887,Femmes en Communication,الجمعية الوطنية المرأة في اتصال,Algérie/الجزائر,دار الصحافة 01، شارع بشير عطار ساحة أول ماي الجزائر العاصمة عمارة 323,,021.68.55.66,ounoutha@hotmail.com,0000-00-00,: http://www.femmesencommunication.org,جمعية وطنية,,,,"- مد الرأي العام بالمعلومات الخاصة بحقوق المرأة, -  المحافظة على النقاش في المجتمع حول قضايا المرأة",,,"- راديو على الأنثرنث, - تدخلات في الصحافة, -  نشر المعلومات على الأنثرنث",,,,,,المجتمع و المسؤولين,
670,2014-11-07 02:05:13.045379,Association féminine pour l\'épanouissement de la personne et l\'exercice de a citoyenneté (AFEPEC),الجمعية النسائية من أجل ترقية الإنسان و ممارسة المواطنة,Algérie/الجزائر,13 شارع ميرامار وهران,,+213 (0) 41 39 59 81,afepec@yahoo.fr,0000-00-00,http://afepec.org/,منظمة غير حكومية وطنية,,,,"- ممارسة المواطنة للنساء كاملة, - الكفاح من أجل الحقوق الدستورية للمرأة, •  - التكوين و التحسيس و إعلام المرأة الشابة على المواطنة و المساواة",,,"- انشاء شبكة الشباب من أجل المساواة بين المرأة و الرجل, - انشاء مركز للنساء يقدم الدم القانوني و الاستماع للضحايا, -  تحسيس و اعلام الشباب بقيم المساواة من خلال أنشطة ثقافية و سنمائية",,,,,,المجنمع و المسؤولين,
671,2014-11-07 02:05:20.154738,Alkarama for Human Rights,منظمة الكرامة لحقوق الإنسان,الجزائر/Algérie,Alkarama for Human Rights 2bis Chemin des Vignes CH-1209 Geneva Switzerland,,"Fax: +41 22 734 1034, : Tel: +41 22 734 1006",info@alkarama.org,0000-00-00,: http://ar.alkarama.org,منظمة غير حكومية,,,,مساندة كل ضحايا التعذيب والاعتقال التعسفي والمهددين بالإعدام خارج نطاق القضاء، والاختفاء القسري في العالم العربي. الكرامة جسر يعمل على إيصال أصوات الضحايا في العالم العربي إلى الآليات الدولية في مجال حقوق الإنسان، من أجل عالم عربي ينعم فيه كل الأفراد بالعدل والحرية في ظل حماية القانون,إقليمي,,"- تقديم شكاوى للآليات الدولية لحماية حقوق الإنسان, -  بيانات استعجاليه للآليات الدولية لحماية حقوق الإنسان, - تقارير حول حقوق الإنسان",,,,,,المؤسسات الدولية,
672,2014-11-07 02:05:31.269370,Fondation Suisse Maroc Pour Le Développement,مؤسسة سويسرا اللمغرب للتنمية المستدامة,المغرب سويسرا,شارع التريكي الرباط المغرب,المغرب,00212661040412,a-hamdi@fsmd.fr,0000-00-00,,التنمية المستدامة,عبد الرفيع حمصي,,,تشجيع البحث و الهدف في مجال التنمية المستدامة و حماية حقوق الأجيال المقبلة,جهوي,مواكبة الفاعلين العموميين,دراسات و أنشطة أقتصادية,,,,,,الأجيال,
673,2014-11-07 02:05:41.378689,Association de charité Alkalima Alttaiba,الجمعية الخيرية الكلمة الطيبة,تونس,طريق المهدية صفاقس,صفاقس,29214148,alkalima.attayba@gmail.com,0000-00-00,,خيرية,هشام القرقوري,هادي همامي,,نشر الكلمة الطيبة و اعانة العائلات المعوزة,جهوي,انشاء مشاريع دائمة,حملات موسمية العودة الدراسية حملات رمضان,,,,,,عامة الشعب,
674,2014-11-07 02:05:48.480958,CCLAD,مركز توافق للمساعدة و التنمية,مصر,القاهرة,القاهرة,01225688980,a.hussein@yahoo.com,0000-00-00,,المساعدة القانونية و التنموية,منال فتحي محمود,احمد حسين محمود,,,جهوي,برنامج تمكين المرأة في الشباب,المدرسة الشعبية السياسية,,,,,,المرأة و الشباب,
675,2014-11-07 02:05:57.580491,Le mouvement des femmes des associations des quartiers du Grand Casablanca,حركة نساء جمعيات أحياء الدار البيضاء الكبرى,المغرب,الدار البيضاء,الدار البيضاء,0604171774,actionfemmes@yahoo.fr,0000-00-00,,حركة نسائية لجمعيات,,,,تقوية قدرات الجمعيات,جهوي,,,,,,,,جمعيات الأحياء,
676,2014-11-07 02:06:02.679038,,لجنة اللاجئين المجلس الوطني الفلسطيني,فلسطين,لبنان بيروت,لبنان بيروت,+96171522472,pns.salah@gmail.com,0000-00-00,,غير حكوية,صلاح صلاح,,,الاهتمام بأوضاع الالاجئين الفلسطنين,جهوي,,الدفاع عن حقوق اللاجئيين الفلسطنين,,,,,,الشباب,
677,2014-11-07 02:06:09.855442,Association Araa,جمعية آراء المواطنين و المدنين,تونس,حمام الزريبة زغؤان,زغوان,55661847,araa.contact@gmail.com,0000-00-00,,حقوقية,قيس الحاج حسين,,,نشر ثقافة حقوق الأنسان و المواطنة,جهوي,تدعيم دور الجمعيات و المجتمع المدني في جهة القصرين,المشاركة في الحراك الجهوي و المحلي,,,,,,الشباب المرأة,
678,2014-11-07 02:06:15.956539,,منظمة الحرية الليبية,ليبيا,0021806873487,طرابلس,,freeliby@hotmail.com,0000-00-00,,حقوقية,الهادي بالحاج عمر,سهيل المختار,,الاحاطة بالشباب الليبي,جهوي,دورة في امريكا للشباب في مجال حقو ق الانسان,دورة تكوينية في جنيف للهيئة المديرة,,,,,,الشباب الليبي,
679,2014-11-07 02:06:29.082595,Organisation de la Femme Rural,منظمة المرأة الريفية,تونس,شارع الحبيب بورقيبة القصرين,القصرين,77814351,contactfemme@live.fr,0000-00-00,,تنموية,بسمة الخضراوي,فتحية التومي,نجوى التليلي,الاحاطة بالمراة الريفية,جهوي,دعم مشاريع صغرى,دورة تكوينية ل20 امرأة في مجال الفلاحة,,,,,,النساء الريفيات,
680,2014-11-07 02:06:39.198235,Organisation Citoyen Libre,منظمة المواطن الحر,تونس,شارع الحبيب بورقيبة الكاف,الكاف,78201381,oclibre@gmail.com,0000-00-00,,حقوقية,الهادي مقري,,,نشر ثقافة حقوق الأنسان,جهوي,موقع واب,دورات تدريبية في مجال حقوق الانسان,,,,,,الشباب,
681,2014-11-07 02:06:44.298523,Croissant Vert Tunisien,الهلال الأخضر التونسي,تونس,فرانس فيل تونس,تونس,+216 24510450,croissantverttunisien@yahoo.fr,0000-00-00,,منظمة اسعافية اجتماعية,معز الشريف,,,العدالة الاجتماعية في المناطق الداحلية,جهوي,مشروع المساجين المتابعة و الادماج في الحياة الاجتماعية,حملات مواطنة تونسية,,,,,,الفئات المحتاجة و الفقيرة,
682,2014-11-07 02:06:53.400085,Jordon developement,شبكة الأردن للتنمية,الأردن,عمان,عمان,,info@jordandevnet.org,0000-00-00,info@jordandevnet.org,تنموية,,,,ضمان التنسيق والترابط في المداخل المتبعة لتنمية المجتمعات المحلية,جهوي,,,,,,,,الشبان,
683,2014-11-07 02:07:04.500234,Centre pour la défense de la liberté des journalistes,مركز حماية وحرية الصحفيين,الأردن,عمان الاردن,عمان,96265160820,cdlj@cdlj.org,0000-00-00,www.cdlj.org,مهنية حقوقية,,,,الدفاع على حقوق الصحفيينو حريتهم,جهوي,,دورات تدريبية,,,,,,الصحفين,
686,2014-11-07 02:07:25.790465,ATAB,جمعية المهندسين الفلاحين بنزرت,تونس,بنزرت,بنزرت,98273590,,0000-00-00,,جمعية تنموية,علي عربي,عبد المجيد بنقياس,مختار العمري,ارساء منظومة تمويل و تسويق,جهوي,شريك الفلاحين الصغار,ربط علاقة تتكامل مع اتحاد المهندسين المزارعين,,,,,,فنيين فلاحين و فلاحين صغار,
687,2014-11-07 02:07:31.887517,OECONOMIE,جمعية الاقتصاد الانساني,تونس,أريانة,أريانة,22846619,fehriseliti@gmail.com,0000-00-00,,اقتصادية,,,,الاعتناء بجرحى الثورة,جهوي,برنامج زراعي بقفصة,اعانات لضحايا الفيضانات,,,,,,الانسان,
688,2014-11-07 02:07:39.983788,UGET,الاتحاد العام لطلبة تونس,تونس,تونس,تونس,27587741,,0000-00-00,,منظمة نقابية,,,,حماية حقوق الطلبة,جهوي,,أنشطة يومية حول حقوق الطلبة,,,,,,الطلبة,
689,2014-11-07 02:07:50.152092,ASSOCIATION DES AMIS DE LIVRE PROGRESSISTE,جمعية أصدقاء الكتاب التقدمي,تونس,تونس,تونس,25224314,hossny16@gmail.com,0000-00-00,,ثقافية,,,,تثقيف المواطنين,جهوي,التوسع على المستوى الوطني,خروج في تظاهرات و مسيرات,,,,,,كافة الفئات,
690,2014-11-07 02:07:55.306090,Lam Chaml,لم الشمل,تونس,سكرة شارع,تونس,70693090,lam.chaml@gmail.com,0000-00-00,www.lamchaml.org,حقوقية,,,,هو عبارة عن شبكة من أكثر من 80 جمعية من المجتمع المدني والعديد من المواطنين المستقلين. انه يريد ان يكون مسبارا بين جميع الجمعيات لأنشطة نقل المعلومات كل والعمل معا لتحقيق النجاح,جهوي,,,,,,,,الشعب,
691,2014-11-07 02:08:05.408820,Centre des femmes arabes pour la formation et la recherche,مركز المرأة العربية للتدريب والبحوث,تونس,حي الخضراء تونس,حي الخضراء تونس,+216 71511773,cawtar@cawtar.org,0000-00-00,www.cawtar.org,ثقافية تنموية,,,,انشاء بيئة عربية يتساوى فيها الرجال و النساء على مستوى الحقوق و الحريات,جهوي,تمكين المرأة لتحقيق المساوات,دعم المرأة في التنمية المستدامة,,,,,,المرأة العربية,
692,2014-11-07 02:08:10.564675,ATEPH,الجمعية التونسية للدراسات الفلسفية,تونس,منزل جميل,بنزرت,25870333,bahrikhaled99@gmail.com,0000-00-00,,جمعية ثقافية,,,,هدف تربوي  نشر الثقافات باقيم الكونية,جهوي,تنظيم ندوات و المشاركة فيها وطنيا,تنظيم ندوات و ملتقيات علمية أكادمية,,,,,,باحثيو و طلبة,
693,2014-11-07 02:08:23.670232,General Union of Palestinian Students,الاتحاد العام لطلبة فلسطين,فلسطين,رام الله,رام الله,27202094,laith-qudsi@hotmail.fr,0000-00-00,الاتحاد العام لطلبة تونس,نقابية,,,,التعريف بالقضية الفلسطينية,جهوي,,,,,,,,كل الفئات,
694,2014-11-07 02:08:36.775848,Forum Social De Rdeyef,المنتدى الأقتصادي و الأجتماعي الرديف,تونس,قفصة,قفصة,93830016,,0000-00-00,,اجتماعية,,,,تنمية الحوض المنجمي,جهوي,,التعريف بأهداف المنتدي,,,,,,عموم الشعب,
695,2014-11-07 02:08:42.875363,UJDT,جمعية شباب الصحافة,تونس,حي الزهور الثالث,تونس,24969751,,0000-00-00,,الدفاع على الصحافين,,,,صحافة حرة,جهوي,صحافة حرة و نزيهة,المشاركة في ندوات و أمسيات,,,,,,الشعب التونسي,
696,2014-11-07 02:08:47.972627,Forum Libre Kasserine,جمعية ملتقى أحرار القصرين,تزنس,حي النور,القصرين,92721326,,0000-00-00,,اجتماعية تنموية,,,,التنمية الجهوية و المحلية الادماج و البحث عن مواطن شغل تفعيل دور الشباب,جهوي,,,,,,,,الشباب و الفقراء,
697,2014-11-07 02:08:55.094593,Forum Libre Kasserine,جمعية ملتقى أحرار القصرين,تزنس,حي النور,القصرين,92721326,,0000-00-00,,اجتماعية تنموية,,,,التنمية الجهوية و المحلية الادماج و البحث عن مواطن شغل تفعيل دور الشباب,جهوي,,,,,,,,الشباب و الفقراء,
698,2014-11-07 02:09:03.197364,Handicap International Algérie,المنظمة الدولية للأشخاص ذوي الاحتياجات الخاصة,الجزائر/Algérie,02 يحي المازوني، شارع البشير الابراهيمي، الأبيار الجزائر,,021.79.28.24,enfance.et.droits@hi-algerie.org,0000-00-00,www.hi-algerie.org,منظمة غير حكومية,سليمة رابح,,,تحسين ظروف المعيشة، الإدماج و المشاركة الاجتماعية الكاملة للأشخاص ذوي الاحتياجات الخاصة,,,- تكوين الجمعيات العاملة في ميدان ذوي الاحتياجات الخاصة  -  تقديم الدعم و الخبرة إلى الجمعيات العاملة في ميدان ذوي الاحتياجات الخاصة من أجل تقديم التقارير الموازية أمام الآليات الدولية لحقوق الإنسان.,,,,,,الأشخاص ذوي الاحتياجات الخاصة,
699,2014-11-07 02:09:10.298248,Fondation Friedrich Ebert,مؤسسة فريديريتش ايبرت,الجزائر/Algérie,,,"+213 21 92 12 49Fax:, Tél:+213 21 92 68 95",info@fes-alger.org,0000-00-00,www.fes-alger.org,مؤسسة,,,,-  التربية على الديمقراطية و دولة القانون,جهوي,,"- تكوين النقابات المهنية و الجمعيات و الصحافة, -  تنظيم ملتقيات فكرية و ندوات دراسية, - تقديم الدعم للمجتمع المدني من خلا مختلف المشاريع",,,,,,المجتمع المدني الجزائري,
700,2014-11-07 02:09:19.402575,Caritas Algérie,كاريطاس الجزائر,Algérie  الجزائر,22 شارع حيدرة 16030 الأبيار الجزائر العاصمة,,+213 21 92 58 55 +213 21 92 58 55,contact@caritas.dz,0000-00-00,http://www.caritas.dz,منظمة غير حكومية إنسانية,,,,"- التضامن مع الفئات الهشة من المجتمع, - ترقية قيم السلام, - ترقية الحفاظ على البيئة",,,"- مجلة الحياة, -  تقديم الدعم المهني في مجال تأهيل اللاجئين، طالبي اللجوء و المهاجرين قصد إدماجهم في المجتمع الجزائري, -  تقديم الدعم لجمعيات الشباب",,,,,,: الفئات الهشة من المجتمع,
701,2014-11-07 02:09:33.522870,Comité International pour le Développement des Peuples – CISP الجزائر,اللجنة الدولية من أجل تنمية الشعوب- الجزائر,Algérie / الجزائر,08 شارع سمغوني (شارع الواحات سابفا) القبة الجزائر العاصمة,,"Tél. : +213 21 77 56 71, Fax. : +213 21 77 56 73",cisp_algerie@hotmail.com,0000-00-00,http://www.cisp-ngo.org/,منظمة غير حكومية عالمية,,Eveline CHEVALIER,,"-  دعم المجتمع المدني, - محاربة الإقصاء الاجتماعي",,,- الشراكة مؤسسات المجتمع المدني في عدة نشاطات,,,,,,الفئات المهمشة,
702,2014-11-07 02:09:40.629856,bahrain press association,رابطة الصحافة البحرينية,,"11 lilac court,15 crown mews,London,E13 9HQ,Uk",لندن - بريطانيا,00447821135441,,2011-07-09,www.bahrainpa.org,منظمة معينة بالدفاع عن حقوق الإعلاميين,عادل المرزوق,عباس بوصفوان,ندى الوادي,تعنى رابطة الصحافة البحرينية بالدفاع عن الإعلاميين البحرينيين من صحافيين ومدونيين ومصورين، كما تهتم بالدفاع عن قيم الحرية الإعلامية والصحافية وحرية التعبير في دول منطقة الشرق الأوسط.,جهوي,مواصلة رصد حقوق الإعلام في البحرين.,رصد انتهاكات حقوق الإعلاميين في البحرين، إصدار البيانات والتقارير الدورية بشأن أوضاع الإعلام في البحرين.,,,,,,الإعلاميين,
703,2014-11-07 02:09:53.798308,BH group 19,مجموعة بحرين 19,البحرين,-,-,+97339622008,esmat420@gmail.com,2012-05-03,-,منظمة معنية بالدفاع عن الإعلاميين البحرينيين,عصمت الموسوي,فريد رمضان,علي القميش,الدفاع عن الإعلاميين البحرينيين,جهوي,استمرار توثيق انتهاكات الإعلاميين، وإطلاق حملة للمطالبة بإقرار قانون الصحافة البحريني.,إصدار عدد من البيانات والتقارير المعنية بتوثيق انتهاكات حقوق الإعلاميين في البحرين من بعد أحداث 2011، ومخاطبة الجهات الرسمية من أجل المطالبة بإرجاع الإعلاميين المفصولين إلى أعمالهم.,,,,,,الإعلاميين البحرينيين,
704,2014-11-07 02:09:59.928066,human rights and freedom committee in Alwefaq society,دائرة الحقوق والحريات في جمعية الوفاق الوطني الإسلامية,البحرين,الزنج,-,+97339696671,shalmosawi@gmail.com,2009-07-01,http://alwefaq.net/cms,لجنة رصد لانتهاكات حقوق الإنسان,هادي الموسوي,,,دائرة تابعة لجمعية الوفاق الوطني الإسلامية، تهتم بمتابعة قضايا حقوق الإنسان، وتعتبر لجنة الرصد المحور الأساس في نشاطها,,إصدار تقرير معني بحالات التعذيب في البحرين.,رصد انتهاكات حقوق الإنسان قبل وبعد أحداث 2011، رفع الشكاوى إلى الجهات والأشخاص المعنيين في الأمم المتحدة، تقديم التقارير الحقوقية للمنظمات الدولية.,,,,,,البحرينيون,
705,2014-11-07 02:10:07.033188,alwahdawi observatory,مرصد الوحدي,البحرين,11365 الدبلوماسية - مملكة البحرين,العدلية,+973 17 827 721,info@tjm3.org,0000-00-00,www.tjm3.org,لجنة حقوقية تابعة لجمعية التجمع الوطني الديمقراطي,حسن مرزوق,,,رصد وتوثيق انتهاكات حقوق الإنسان في البحرين,,-,رصد شكاوى انتهاكات حقوق الإنسان في البحرين.,,,,,,البحرينيون,
706,2014-11-07 02:10:18.147260,bahrain rehabilitation & anti violence organization,المنظمة البحرين للتأهيل ومناهضة العنف,,-,-,-,info@bravo-bahrain.org,2012-06-26,http://www.bravo-bahrain.org/,منظمة معنية بتأهيل ضحايا التعذيب في البحرين,ندى ضيف,جيهان كازروني,نبيل حميد,1.تشكيل لجان ذات مهمات دائمة او مؤقتة، ويعهد اليها القيام بالأعمال التي تساعد على تحقيق اغراض الجمعية.,,استمرار توثيق ضحايا التعذيب وانتهاكات حقوق الإنسان,تسهيل علاج عدد من المصابين في احتجاجات البحرين 2011، وتدشين حملة لعلاج المصابين في أعينهم بسبب عنف الأمن المفرط.,رصد وتوثيق حالات ضحايا التعذيب,انتاج الموارد لتسهيل علاج ضحايا التعذيب,,,,ضحايا التعذيب وانتهاكات حقوق الإنسان,محسن العلوي
707,2014-11-07 02:10:23.245206,bahrain human rights monitor,المرصد البحريني لحقوق الإنسان,,-,-,0097339479199,-,2013-02-01,-,شبكة حقوقية تضم عدد من المنظمات الحقوقية المستقلة,منذر الخور,عبدالنبي العكري,,مظلة تجمع المنظمات الحقوقية البحرينية المستقلة لتنسيق الجهود في توثيق انتهاكات حقوق الإنسان,,-,تقديم تقارير مشتركة والمشاركة في فعاليات الأمم المتحدة بجنيف المعنية بأوضاع حقوق الإنسان في البحرين,,,,,,المواطنون البحرينيون,
709,2014-11-07 02:10:41.451716,Syndicat National Autonome des Personnels de l’Administration Publique (SNAPAP),النقابة الوطنية لمستخدمي الإدارة العمومية,الجزائر/Algérie,23شارع بوعلام زرياط بلفور، الحراش الجزائر العاصمة,,021 52 03 72,contact@maisondessyndicats-dz.com,0000-00-00,http://www.maisondessyndicats-dz.com/,نقابة مهنية مستقلة,رشيد معلاوي,,نصيرة غزلان,"-  تحسين الوضعية الاجتماعية للعمال, -  توحيد النقابات المستقلة, -  الدفاع عن الحريات النقابية",,-  توحيد النقابات المستقلة,"-  إضرابات في القطاع العمومي, -  احتجاجات ووقفات احتجاجية في الشارع, - المرافعة أمام المؤسسات الدولية\"" المنظمة العالمية للعمل\"", -  تدخلات في الصحافة المكتوبة خاصة",,,,,,عمال القطاع العمومي,
710,2014-11-07 02:10:49.595662,Conseil National Autonome des Professeurs de l’éducation secondaire et technique CNAPEST,المجلس الوطني المستقل لأساتذة التعليم الثانوي و التقني,Algérie/الجزائر,,,00 213 36 73.24.42,cnapest@gmail.com,0000-00-00,http://www.cnapest.com,نقابة مهنية مستقلة,نوار العربي,,,".  الدفاع عن المصالح المادية المهنية والاجتماعية لأساتذة التعليم الثانوي و التقني, تحسين الوسائل و الظروف البيداغوجية ., المساهمة في تحسين ظروف الحياة و ظروف العمل في مؤسسات التعليم الثانوي و التقني ., ترقية التكوين النقابي و نشر ثقافة قانونية متعلقة بعلاقات العمل.",,,"- إضرابات وطنية و جهوية, -  ندوات صحافية, - ندوات دراسية, - ورشات تكوينية",,,,,,عمال التربية والتعليم,
711,2014-11-07 02:10:56.706301,Syndicat National des Travailleurs de l’Education (SNTE),النقابة الوطنية لعمال التربية,الجزائر/Algérie,"مدرسة عيسات إدير , سيدي أمحمد الجزائرالعاصمة",,00213 21 65 32 14,info@snte.dz,0000-00-00,http://www.snte.dz,نقابة مهنية مستقلة,عبد الكريم بوجناح,,,"ترقية التكوين النقابي و نشر ثقافة قانونية متعلقة بعلاقات العمل, الدفاع عن المصالح المادية المهنية والاجتماعية لكل موظفي و أساتذة التربية و التعليم",,,"- إضرابات وطنية و جهوية, -  نشاطات حوارية في الإعلام المسموع المكتوب و المرئي, -  ندوات دراسية",,,,,,عمال التربية و التعليم,
712,2014-11-07 02:11:02.872207,Union Nationales des Personnels de l’Education et de la Formation  UNPEF,الاتحاد الوطني لعمال التربية و التكوين,Algérie/الجزائر,,,021.65.95.16     021.65.78.83,unpef16@hotmail.com,0000-00-00,http://www.unpef.com,نقابة مهنية مستقلة,الصادق دزيري,,,"- ترقية التكوين النقابي و نشر ثقافة قانونية متعلقة بعلاقات العمل -  الدفاع عن المصالح المادية المهنية والاجتماعية لكل موظفي و أساتذة التربية و التعليم, الدفاع عن الحريات النقابية",,,- إضرابات وطنية و جهوية  -  نشاطات حوارية في الإعلام المسموع المكتوب و المرئي   - ندوات دراسية,,,,,,عمال التربية و التعليم,
713,2014-11-07 02:11:16.979780,Syndicat National des Praticiens Spécialistes de la Santé Publique S.N.P.S.S.P,النقابة الوطنية للممارسين الأخصائيين للصحة العمومية,الجزائر/Algérie,إقامة حسين داي الجزائر العاصمة,,00213 21 47.99.18,,0000-00-00,http://snpssp.sante-dz.org,نقابة مهنية مستقلة,الدكتور يوسفي محمد,,خلوي ياسين,"ترقية التكوين النقابي و نشر ثقافة قانونية متعلقة بعلاقات العمل, الدفاع عن المصالح المادية المهنية والاجتماعية لكل ممارسي الصحة العمومية الأخصائيين, الدفاع عن الحريات النقابية, البحث العلمي في مجال الصحة",,,"-  إضرابات وطنية و جهوية, -  نشاطات حوارية في الإعلام المسموع المكتوب و المرئي, -  ندوات دراسية",,,,,,ممارسي الصحة العمومية الأخصائيين,الدكتورة حيرش سليمة
714,2014-11-07 02:11:31.084938,Conseil National des Enseignants du Supérieur CNES,المجلس الوطني أساتذة التعليم العالي,الجزائر/Algérie,08 شارع حارسكي حماني (شارع شاراس سابقا) الجزائر العاصمة,,00213 36 92 72 12,cnes.univ@gmail.com,0000-00-00,: http://cnes.voila.net/,نقابة مهنية مستقلة,,,,ترقية التكوين النقابي و نشر ثقافة قانونية متعلقة بعلاقات العمل  الدفاع عن المصالح المادية المهنية والاجتماعية لكل أساتذة التعليم العالي  الدفاع عن الحريات النقابية,,,-  إضرابات وطنية و جهوية  -  نشاطات حوارية في الإعلام المسموع المكتوب و المرئي   - ندوات دراسية,,,,,,أساتذة التعليم العالي,
715,2014-11-07 02:11:43.189410,Soumoud,جمعية صمود,Algérie/الجزائر,,,021. 82.47.70  / 07.79.11.78.39,azizmerzak@yahoo.fr,0000-00-00,,جمعية وطنية,عزيز مرزاق,,,"- الدفاع عن حقوق ضحايا الإرهاب, - الكفاح ضد اللاعقاب",,,"-  المشاركة في الملتقيات و الندوات الدراسية حول قضايا حقوق الإنسان, -  حوارات صحافية",,,,,,ضحايا الإرهاب,
716,2014-11-07 02:11:56.288219,TRIANGLE GENERATION HUMANITAIRE (TGH),مثلث جيل الإنسانية,الجزائر/Algérie,حي 348 مسكن عمارة 38 رقم 5 سعيد حمدين حيدرة الجزائر العاصمة,,00213 21 60 49 33,algerie@trianglegh.org,0000-00-00,www.trianglegh.org,منظمة إنسانية,,,,"- تعزيز الحماية القانونية و البدنية للاجئين و طالبي اللجوء, تعزيز معارف النساء من اللاجئين و طالبي اللجوء بحقوقهن و المراكز الصحية الموجودة, -  توفير المساعدة النفسية للأطفال و النساء من اللاجئين و طالبي اللجوء ضحايا العنف, مساعدة أطفال اللاجئين و طالبي اللجوء في الدراسة",,,"توفير السكن اللائق للاجئين و طالبي اللجوء, - توفير المساعدة الإنسانية للاجئين و طالبي اللجوء في تندوف, - توفير الحد الأدنى من مستلزمات العيش للاجئين و طالبي اللجوء في الجزائر العاصمة",,,,,,اللاجئين و طالبي اللجوء في الجزائر,
717,2014-11-07 02:12:01.391846,"Médecins du monde, mission Algerie",أطباء العالم,Algérie / الجزائر,17، شارع ابن خطيب الجزائر وسط، العاصمة,,00 213 21 74 51 33,genco.algeria@medecinsdumonde.net,0000-00-00,,منظمة غير حكومية,,,,"-  تعزيز ظروف المعيشة للشعوب الموجودة في حالة هجرة أو لجوء, -  تعزيز الوصول إلى الرعاية الصحية و الحقوق بالنسبة للأشخاص الموجودون في وضعية هجرة أو لجوء",,,"-  تعزيز التكفل الصحي بالأشخاص في وضعية هجرة أو لجوء في مرافق الصحة الجزائرية(ورشات تحسيسية و تكوينية للأطباء، و الفاعلين في الميدان...), -  تعزيز قدرات الجمعيات المتدخلة في الميدان (لقاءات للتبادل، و جمع المعلومات القانونية و العملية...), -  تشبيك الفاعلين الوطنيين و الدوليين في ميدان الهجرة.",,,,,,الأشخاص في وضعية الهجرة و اللجوء,
718,2014-11-07 02:12:09.492412,ASSOCIATION AIDS ALGERIE,جمعية ايدز الجزائر,Algérie/الجزائر,07 شارع أحمد خميسة الجزائر العاصمة,,"Fax  021 74 43 74, 021 74 15 28",contact@aidsalgerie.org,0000-00-00,www. aidsalgerie.org,منظمة غير حكومية,Othmane BOUROUBA,,,"- التكفل بالأشخاص الحاملين لمرض السيدا, - الوقاية من المرض",,,"-  القيام بتشخيص ودراسات حول مرض السيدا, - التوعية و التحسيس مع المجتمع المدني القريب من الأشخاص المعرضين للعدوى, -  توزيع وسائل الوقاية, -  توجيه الأشخاص المصابين نحو الهياكل المختصة, - تكوين المهنيين التربويين, - المرافعة أمام المؤسسات الوطنية و المحلية",,,,,,الأشخاص المصابين بمرض السيدا,
719,2014-11-07 02:12:16.596550,SOS KINDERDORF INTERNATIONAL (SOS KINDI),نجدة كيندروف الدولية,Algérieالجزائر/,فيلا رقم 136 حي اللوز بابا حسان الجزائر العاصمة,,"00213 21 35 01 34, Tel  00213 20 31 05 76",Gerard.ruot@laposte.net,0000-00-00,www.vesos-dz.org,منظمة غير حكومية,جيرار عيسى ريو,,,"- استقبال الأطفال بدون عائلة, توفير التعليم و التربية لهؤلاء الأطفال, - توفير المتابعة حتى الاستقلالية من أجل بناء مشروع الحياة لهؤلاء الأطفال",,,"- روضة للأطفال, - نادي نجدة شباب, - حديقة أطفال نجدة, - خمسة مراكز اجتماعية نجدة  -",,,,,,الأطفال,
